Chromosome,strand,trans-spliced position,percent SL2,binomial exact p-value for the percent SL2,number of reads,number of SL1 reads,number of total SL2 reads (SL2+SL2 variant reads),number of SL2 variant reads,non-trans-spliced reads at this position,"type of trans-splice site (gene, cis, other)",gene name,gene rank (within operon),position of first AUG,average exp of the gene (dcpm),distance to upstream gene 3' end,position of the upstream gene 3' end,length of 5' UTR (trans-splice site to first AUG),position of the closest annotated 5' end,distance from the closest annotated 5' end to trans-splice site,distance from the closest annotated 5' end to first AUG downstream of trans-splice site
IV,+,9119079,0.00407056,0.0,737,734,3,3,0,gene,C01F6.6,0,9119080,3.88569,9348,9109731,1,9119079,0,-1
IV,+,9120176,0.0,0.5,1,1,0,0,0,gene,C01F6.6,0,9120452,3.88569,10445,9109731,276,9120176,0,-276
IV,+,9127176,0.00242718,0.0,412,411,1,1,3,gene,C01F6.6,0,9127226,3.88569,17445,9109731,50,9127176,0,-50
IV,+,9147449,0.00634737,0.0,3466,3444,22,21,0,gene,F23B2.6,0,9147455,4.58344,1252,9146197,6,9147451,2,-4
IV,+,9184829,0.0,0.000976562,10,10,0,0,0,gene,C07C7.1,0,9185019,0.00970774,32804,9152025,190,9185044,215,25
IV,+,9194805,0.0,0.000976562,10,10,0,0,0,gene,C46C2.7,0,9194919,0.315101,8802,9186003,114,9194835,30,-84
IV,+,9195573,0.0,0.5,1,1,0,0,0,gene,C46C2.7,0,9195609,0.315101,9570,9186003,36,9195573,0,-36
IV,+,9200087,0.0123457,3.35008e-23,81,80,1,1,1,gene,C46C2.1,0,9200138,1.88272,4043,9196044,51,9200094,7,-44
IV,+,9200094,0.0,0.0,207,207,0,0,14,gene,C46C2.1,0,9200138,1.88272,4050,9196044,44,9200094,0,-44
IV,+,9213574,0.0,0.5,1,1,0,0,0,gene,C46C2.6,0,9213606,0.0248754,1364,9212210,32,9213611,37,5
IV,+,9216930,0.0,0.0078125,7,7,0,0,0,gene,C46C2.2,0,9216974,2.40342,2654,9214276,44,9216930,0,-44
IV,+,9217704,0.00597015,0.0,1340,1332,8,4,4,gene,C46C2.2,0,9217731,2.40342,584,9217120,27,9217704,0,-27
IV,+,9236511,0.0,0.0625,4,4,0,0,2,gene,Y11D7A.3,0,9236526,0.671429,8597,9227914,15,9236941,430,415
IV,+,9249503,0.0441176,9.02116e-32,136,130,6,5,0,gene,Y11D7A.7,0,9249506,0.493082,1389,9248114,3,9249507,4,1
IV,+,9270073,0.00680272,0.0,441,438,3,3,1,gene,Y11D7A.13,0,9270073,0.56411,16077,9253996,0,9270074,1,1
IV,+,9274516,0.0,0.125,3,3,0,0,23,gene,Y11D7A.14,0,9274523,0.175178,2604,9271912,7,9274456,-60,-67
IV,+,9316492,0.0,0.125,3,3,0,0,1,gene,F49C12.8,0,9316499,4.87508,9350,9307142,7,9316616,124,117
IV,+,9316616,0.00439422,0.0,1593,1586,7,6,8,gene,F49C12.8,0,9316619,4.87508,9474,9307142,3,9316616,0,-3
IV,+,9319357,0.887578,0.0,7374,829,6545,4315,4,gene,F49C12.11,0,9319368,16.1053,1164,9318193,11,9319357,0,-11
IV,+,9321778,0.0036846,0.0,2714,2704,10,7,1,gene,F49C12.13,0,9321783,11.2979,1657,9320121,5,9321778,0,-5
IV,+,9371485,0.0,6.10352e-05,14,14,0,0,2,gene,C10C5.2,0,9371485,0.0973005,32957,9338528,0,9371485,0,0
IV,+,9385095,0.0,3.85186e-34,111,111,0,0,0,gene,C10C5.7,0,9385102,0.835572,1949,9383146,7,9385103,8,1
IV,+,9385103,0.0,1.46937e-39,129,129,0,0,129,gene,C10C5.7,0,9385201,0.835572,1957,9383146,98,9385103,0,-98
IV,+,9386434,0.0153257,0.0,261,257,4,3,2,gene,C10C5.6,0,9386440,0.946717,744,9385690,6,9386434,0,-6
IV,+,9399630,0.0,7.45058e-09,27,27,0,0,2,gene,F56D5.3,0,9399674,0.0835705,4723,9394907,44,9399675,45,1
IV,+,9436687,0.0166667,5.20417e-17,60,59,1,1,0,gene,F59B8.1,0,9436692,0.140556,12295,9424392,5,9436687,0,-5
IV,+,9451317,0.0,4.33681e-19,61,61,0,0,2,gene,F38E11.3,0,9451341,0.303939,2268,9449049,24,9451317,0,-24
IV,+,9459697,0.0,0.03125,5,5,0,0,0,gene,F38E11.5,0,9459713,2.20835,6171,9453526,16,9459708,11,-5
IV,+,9459708,0.00566038,0.0,530,527,3,2,4,gene,F38E11.5,0,9459713,2.20835,6182,9453526,5,9459708,0,-5
IV,+,9488489,0.0,0.125,3,3,0,0,0,gene,C33A12.14,0,9488505,0.00597358,881,9487608,16,9488647,158,142
IV,+,9517119,0.0,0.000976562,10,10,0,0,56,gene,C33A12.19,0,9517168,0.496271,14575,9502544,49,9516974,-145,-194
IV,+,9526343,0.00841969,0.0,1544,1531,13,10,37,gene,F56H11.4,0,9526363,13.3695,7820,9518523,20,9526343,0,-20
IV,+,9540785,0.0,2.58494e-26,85,85,0,0,0,gene,F56H11.1,0,9540828,0.456477,9409,9531376,43,9540785,0,-43
IV,+,9615974,0.0,0.0,152,152,0,0,0,gene,W09C2.1,0,9615982,0.928605,17206,9598768,8,9615974,0,-8
IV,+,9615977,0.0,1.52588e-05,16,16,0,0,1,gene,W09C2.1,0,9615982,0.928605,17209,9598768,5,9615974,-3,-8
IV,+,9651623,0.0,0.00195312,9,9,0,0,5,gene,F58G6.9,0,9651660,0.709411,1144,9650479,37,9651661,38,1
IV,+,9651654,0.00454545,0.0,440,438,2,2,12,gene,F58G6.9,0,9651660,0.709411,1175,9650479,6,9651654,0,-6
IV,+,9653514,0.00238095,0.0,420,419,1,0,4,gene,F58G6.3,1,9653522,0.650171,1064,9652450,8,9653523,9,1
IV,+,9654294,0.903361,1.33873e-40,238,23,215,137,5,gene,F58G6.7,2,9654327,0.627524,95,9654199,33,9654294,0,-33
IV,+,9658030,0.0,0.00012207,13,13,0,0,0,gene,F58G6.4,0,9658041,0.0662238,2465,9655565,11,9658030,0,-11
IV,+,9690911,0.0,1.13687e-13,43,43,0,0,0,gene,ZK1251.7,0,9690920,0.0333703,1536,9689375,9,9690921,10,1
IV,+,9693157,0.0,0.0078125,7,7,0,0,0,gene,ZK1251.8,0,9693159,0.045301,1731,9691426,2,9693179,22,20
IV,+,9725226,0.008,2.93874e-36,125,124,1,0,0,gene,C28D4.9,1,9725254,0.469189,10364,9714862,28,9725226,0,-28
IV,+,9728651,0.954023,1.43845e-20,87,4,83,39,1,gene,C28D4.1,2,9728659,0.612041,100,9728551,8,9728651,0,-8
IV,+,9728656,0.943396,2.60081e-12,53,3,50,28,2,gene,C28D4.1,2,9728659,0.612041,105,9728551,3,9728651,-5,-8
IV,+,9757622,0.00125786,0.0,1590,1588,2,2,0,gene,H27C11.1,0,9757777,2.64448,18334,9739288,155,9757622,0,-155
IV,+,9760128,0.0,8.88178e-16,50,50,0,0,3,gene,H27C11.1,0,9760180,2.64448,20840,9739288,52,9760128,0,-52
IV,+,9761105,0.0,0.5,1,1,0,0,2,gene,H27C11.1,0,9761157,2.64448,21817,9739288,52,9761105,0,-52
IV,+,9772484,0.0026503,0.0,14338,14300,38,34,1,gene,T13F2.8,0,9772505,15.0394,2081,9770403,21,9772484,0,-21
IV,+,9778297,0.00666667,1.05097e-43,150,149,1,1,127,gene,T13F2.6,0,9778350,0.809756,4853,9773444,53,9778262,-35,-88
IV,+,9799404,0.0,6.10352e-05,14,14,0,0,8,gene,T13F2.1,0,9799444,5.28372,7471,9791933,40,9799404,0,-40
IV,+,9825668,0.0142349,0.0,281,277,4,1,0,gene,W08D2.7,0,9825672,0.886231,2541,9823127,4,9825672,4,0
IV,+,9855985,0.0,2.1684e-19,62,62,0,0,0,gene,K07F5.12,0,9855990,0.157736,2403,9853582,5,9855991,6,1
IV,+,9858461,0.0106789,0.0,1311,1297,14,13,1,gene,K07F5.13,1,9858464,1.09383,421,9858040,3,9858461,0,-3
IV,+,9862194,0.885906,1.4013e-45,298,34,264,191,2,gene,K07F5.14,2,9862196,0.531635,103,9862091,2,9862194,0,-2
IV,+,9864154,0.944805,0.0,308,17,291,144,0,gene,K07F5.16,3,9864167,0.578987,101,9864053,13,9864168,14,1
IV,+,9864164,1.0,7.62939e-06,17,0,17,13,703,gene,K07F5.16,3,9864167,0.578987,111,9864053,3,9864168,4,1
IV,+,9865051,0.949538,0.0,1625,82,1543,832,10,gene,K07F5.15,4,9865086,5.99447,95,9864956,35,9865051,0,-35
IV,+,9865105,1.0,0.5,1,0,1,0,3,gene,K07F5.15,4,9865110,5.99447,149,9864956,5,9865051,-54,-59
IV,+,9879301,0.0,6.01853e-36,117,117,0,0,0,gene,F32B6.1,0,9879305,0.408664,13181,9866120,4,9879301,0,-4
IV,+,9884542,0.00985222,0.0,609,603,6,5,2,gene,F32B6.2,0,9884564,1.48091,2368,9882174,22,9884542,0,-22
IV,+,9898984,0.0,2.98023e-08,25,25,0,0,0,gene,F32B6.8,0,9899062,1.39106,2864,9896120,78,9898984,0,-78
IV,+,9899536,0.00884956,0.0,226,224,2,2,336,gene,F32B6.8,0,9899548,1.39106,3416,9896120,12,9899536,0,-12
IV,+,9903880,0.0447761,3.24617e-16,67,64,3,2,1,gene,F32B6.9,0,9903883,0.389593,1409,9902471,3,9903884,4,1
IV,+,9916502,0.0,1.43493e-42,139,139,0,0,2,gene,F25H8.6,0,9916518,0.628838,10655,9905847,16,9916519,17,1
IV,+,9932282,0.0,7.27596e-12,37,37,0,0,37,gene,F25H8.2,0,9932324,0.776377,10346,9921936,42,9932207,-75,-117
IV,+,9978156,0.00282486,0.0,354,353,1,1,6,gene,C47E12.8,0,9978157,0.575778,2700,9975456,1,9978158,2,1
IV,+,9983262,0.0,0.015625,6,6,0,0,25,gene,C47E12.6,0,9983372,0.178331,2520,9980742,110,9983262,0,-110
IV,+,10003698,0.0170778,0.0,527,518,9,8,49,gene,C47E12.1,0,10003725,4.10806,14048,9989650,27,10003698,0,-27
IV,+,10009780,0.015625,3.46945e-18,64,63,1,0,0,gene,F44D12.1,0,10009787,0.399431,4223,10005557,7,10009938,158,151
IV,+,10009795,0.0,0.5,1,1,0,0,211,gene,F44D12.1,0,10009833,0.399431,4238,10005557,38,10009938,143,105
IV,+,10019235,0.0,0.0,159,159,0,0,0,gene,F44D12.9,0,10019238,0.249104,5061,10014174,3,10019235,0,-3
IV,+,10047370,0.0,1.38778e-17,56,56,0,0,0,gene,T04B2.3,0,10047379,0.334448,1695,10045675,9,10047380,10,1
IV,+,10048581,0.0,4.93038e-32,104,104,0,0,5,gene,T04B2.3,0,10048657,0.334448,2906,10045675,76,10048658,77,1
IV,+,10048818,0.0,0.5,1,1,0,0,72,gene,T04B2.3,0,10048861,0.334448,3143,10045675,43,10048658,-160,-203
IV,+,10067794,0.0,4.54747e-13,41,41,0,0,0,gene,W01B6.1,0,10067846,0.377198,17268,10050526,52,10067796,2,-50
IV,+,10086109,0.0109091,0.0,550,544,6,6,1,gene,W01B6.9,0,10086118,0.888131,3519,10082590,9,10086109,0,-9
IV,+,10097178,0.00268817,0.0,372,371,1,0,6,gene,C04G2.6,0,10097179,0.607283,1390,10095788,1,10097180,2,1
IV,+,10129329,0.00231481,0.0,432,431,1,1,365,gene,K08F4.3,0,10129364,2.20465,11277,10118052,35,10129246,-83,-118
IV,+,10129352,0.0,3.05176e-05,15,15,0,0,902,gene,K08F4.3,0,10129364,2.20465,11300,10118052,12,10129246,-106,-118
IV,+,10138081,0.0,7.45058e-09,27,27,0,0,2,gene,K08F4.12,0,10138094,0.0795454,4829,10133252,13,10138095,14,1
IV,+,10145220,0.00286123,0.0,699,697,2,1,0,gene,K08F4.9,0,10145221,1.61604,2152,10143068,1,10145220,0,-1
IV,+,10151920,0.0,2.38419e-07,22,22,0,0,5,gene,T14G10.5,0,10151951,2.69072,5729,10146191,31,10151920,0,-31
IV,+,10151974,0.0333333,2.79397e-08,30,29,1,0,3,gene,T14G10.5,0,10152004,2.69072,5783,10146191,30,10151920,-54,-84
IV,+,10152309,0.00122249,0.0,1636,1634,2,2,1,gene,T14G10.5,0,10152322,2.69072,6118,10146191,13,10152309,0,-13
IV,+,10156147,0.00892857,2.15704e-32,112,111,1,1,41,gene,T14G10.4,0,10156175,0.52537,541,10155606,28,10156094,-53,-81
IV,+,10156158,0.0,0.0,392,392,0,0,537,gene,T14G10.4,0,10156175,0.52537,552,10155606,17,10156094,-64,-81
IV,+,10158009,0.0951586,0.0,599,542,57,34,2,gene,T14G10.3,0,10158033,1.47486,1271,10156738,24,10158022,13,-11
IV,+,10161979,0.364537,6.08868e-17,908,577,331,244,0,gene,T14G10.1,0,10162000,1.25251,2765,10159214,21,10161979,0,-21
IV,+,10176651,0.0041653,0.0,42734,42556,178,150,5,gene,K04D7.1,1,10176680,87.1901,12291,10164360,29,10176651,0,-29
IV,+,10176654,0.00179147,0.0,11164,11144,20,16,1558,gene,K04D7.1,1,10176680,87.1901,12294,10164360,26,10176654,0,-26
IV,+,10177939,0.971154,0.0,208,6,202,148,1,gene,K04D7.2,2,10177940,0.90713,54,10177885,1,10177939,0,-1
IV,+,10177941,0.978261,1.22984e-36,138,3,135,94,1,gene,K04D7.2,2,10177953,0.90713,56,10177885,12,10177941,0,-12
IV,+,10180631,0.00667302,0.0,2098,2084,14,10,58,gene,K04D7.3,3,10180638,6.81372,330,10180301,7,10180631,0,-7
IV,+,10197790,0.00477327,0.0,419,417,2,1,0,gene,K04D7.5,0,10197790,0.467795,13859,10183931,0,10197791,1,1
IV,+,10243583,0.00179995,0.0,3889,3882,7,5,17,gene,F01G10.1,0,10243586,8.22271,17226,10226357,3,10243582,-1,-4
IV,+,10246131,0.0512821,1.34787e-09,39,37,2,2,2,gene,F01G10.10,0,10246132,0.301252,415,10245716,1,10246133,2,1
IV,+,10253588,0.00315457,0.0,317,316,1,1,1,gene,F01G10.8,0,10253636,0.616961,3832,10249756,48,10253588,0,-48
IV,+,10269854,0.00174825,0.0,1144,1142,2,2,3,gene,Y43C5A.2,0,10269870,3.33145,14039,10255815,16,10269854,0,-16
IV,+,10277237,0.0,5.82077e-11,34,34,0,0,0,gene,Y43C5A.7,0,10277248,1.00996,1859,10275378,11,10277333,96,85
IV,+,10286926,0.0060241,0.0,332,330,2,1,1,gene,R09E10.7,0,10286976,0.680935,7439,10279487,50,10286926,0,-50
IV,+,10353155,0.0,0.00195312,9,9,0,0,21,gene,Y43C5B.3,0,10353221,0.30732,60171,10292984,66,10353140,-15,-81
IV,+,10358089,0.0,7.10543e-15,47,47,0,0,33,gene,R11A8.2,0,10358117,0.626303,2997,10355092,28,10358057,-32,-60
IV,+,10358115,0.0017762,0.0,563,562,1,1,80,gene,R11A8.2,0,10358117,0.626303,3023,10355092,2,10358057,-58,-60
IV,+,10368437,0.0,0.0625,4,4,0,0,0,gene,R11A8.6,0,10368437,1.71419,5149,10363288,0,10368579,142,142
IV,+,10368579,0.00501672,0.0,598,595,3,3,5,gene,R11A8.6,0,10368586,1.71419,5291,10363288,7,10368579,0,-7
IV,+,10374879,0.00729927,0.0,274,272,2,2,4,gene,R11A8.7,1,10374917,1.14289,2056,10372823,38,10374918,39,1
IV,+,10381631,0.0,2.98023e-08,25,25,0,0,7,gene,R11A8.7,1,10381696,1.14289,8808,10372823,65,10381631,0,-65
IV,+,10387385,0.890323,0.0,775,85,690,466,8,gene,R10H10.1,2,10387388,1.34819,101,10387284,3,10387385,0,-3
IV,+,10403986,0.00980392,2.0116e-29,102,101,1,1,1,gene,R10H10.5,0,10403990,0.461931,10717,10393269,4,10403991,5,1
IV,+,10436668,0.0,0.03125,5,5,0,0,6,gene,F13B12.5,0,10436725,0.370202,27953,10408715,57,10436680,12,-45
IV,+,10436680,0.0,0.0,398,398,0,0,32,gene,F13B12.5,0,10436725,0.370202,27965,10408715,45,10436680,0,-45
IV,+,10469831,0.0,0.5,1,1,0,0,31,gene,F01D4.2,0,10469837,0.945978,2570,10467261,6,10469735,-96,-102
IV,+,10484082,0.00854701,7.04168e-34,117,116,1,1,1,gene,C02F4.1,0,10484085,0.370889,5942,10478140,3,10484082,0,-3
IV,+,10529465,0.0,3.00927e-36,118,118,0,0,4,gene,T07G12.1,0,10529478,0.529982,7846,10521619,13,10529479,14,1
IV,+,10533909,0.0,0.25,2,2,0,0,0,gene,T07G12.3,0,10533933,0.0968586,1022,10532887,24,10533889,-20,-44
IV,+,10533917,0.0,0.015625,6,6,0,0,0,gene,T07G12.3,0,10533933,0.0968586,1030,10532887,16,10533889,-28,-44
IV,+,10547060,0.0230769,2.62841e-34,130,127,3,3,0,gene,T07G12.6,1,10547069,0.333087,10639,10536421,9,10547060,0,-9
IV,+,10553328,0.0425532,7.68097e-12,47,45,2,2,0,gene,T07G12.8,3,10553383,0.36747,3412,10549916,55,10553388,60,5
IV,+,10555611,1.0,0.25,2,0,2,1,1,gene,T07G12.10,4,10555620,0.216462,198,10555413,9,10555621,10,1
IV,+,10555621,1.0,0.125,3,0,3,1,10,gene,T07G12.10,4,10555630,0.216462,208,10555413,9,10555621,0,-9
IV,+,10558693,0.5,0.375,4,2,2,1,0,gene,T07G12.11,5,10558702,0.162299,502,10558191,9,10558693,0,-9
IV,+,10561877,0.867257,1.74293e-16,113,15,98,86,2,gene,T07G12.12,6,10561885,0.387626,696,10561181,8,10561886,9,1
IV,+,10576322,0.00220264,0.0,454,453,1,0,5,gene,C43F9.8,0,10576349,1.14583,12378,10563944,27,10576322,0,-27
IV,+,10584500,0.0,0.25,2,2,0,0,0,gene,C43F9.10,0,10584508,0.00773016,2729,10581771,8,10584509,9,1
IV,+,10605232,0.0,8.88178e-16,50,50,0,0,0,gene,R09H10.2,0,10605247,0.107174,3408,10601824,15,10605248,16,1
IV,+,10606989,0.0,0.0,614,614,0,0,111,gene,R09H10.3,0,10607001,3.88147,183,10606806,12,10606992,3,-9
IV,+,10607843,0.0652174,2.15721e-10,46,43,3,3,3,gene,R09H10.3,0,10607850,3.88147,1037,10606806,7,10607844,1,-6
IV,+,10615401,0.0,0.0,344,344,0,0,0,gene,R09H10.4,0,10615472,0.519647,5576,10609825,71,10615473,72,1
IV,+,10620809,0.0,0.5,1,1,0,0,16,gene,R09H10.7,0,10620928,0.140536,674,10620135,119,10621165,356,237
IV,+,10656891,0.0,0.000488281,11,11,0,0,34,gene,K08C7.1,0,10656974,0.155613,14225,10642666,83,10656846,-45,-128
IV,+,10662019,0.0,0.0,210,210,0,0,153,gene,K08C7.2,0,10662085,0.942736,1273,10660746,66,10662019,0,-66
IV,+,10666508,0.0,0.000244141,12,12,0,0,0,gene,K08C7.3,0,10666702,1.28122,852,10665656,194,10666799,291,97
IV,+,10666799,0.0,1.88079e-37,122,122,0,0,2,gene,K08C7.3,0,10666804,1.28122,1143,10665656,5,10666799,0,-5
IV,+,10716620,0.00704225,2.547e-41,142,141,1,1,0,gene,ZC168.1,0,10716627,0.505033,9335,10707285,7,10716628,8,1
IV,+,10728480,1.0,0.5,1,0,1,1,4,gene,ZC168.2,0,10728543,0.173174,6753,10721727,63,10728544,64,1
IV,+,10735298,0.0,0.03125,5,5,0,0,11,gene,ZC168.4,0,10735427,6.50347,5736,10729562,129,10735296,-2,-131
IV,+,10735414,0.00194426,0.0,4629,4620,9,7,15,gene,ZC168.4,0,10735427,6.50347,5852,10729562,13,10735414,0,-13
IV,+,10737529,0.0,0.25,2,2,0,0,84,gene,ZC168.5,0,10737568,1.34069,382,10737147,39,10737449,-80,-119
IV,+,10744753,0.0,1.77636e-15,49,49,0,0,0,gene,T25B9.3,0,10744804,0.0931147,6592,10738161,51,10744753,0,-51
IV,+,10761670,0.0,0.000976562,10,10,0,0,79,gene,T25B9.7,0,10761694,0.177308,903,10760767,24,10761670,0,-24
IV,+,10769625,0.00502793,0.0,1790,1781,9,4,0,gene,T25B9.9,0,10769632,3.86761,3615,10766010,7,10769625,0,-7
IV,+,10790625,0.0035461,0.0,282,281,1,1,27,gene,C06G8.2,0,10790651,0.595272,12901,10777724,26,10790570,-55,-81
IV,+,10790642,0.0,5.42101e-20,64,64,0,0,512,gene,C06G8.2,0,10790651,0.595272,12918,10777724,9,10790570,-72,-81
IV,+,10799648,0.0,0.0,510,510,0,0,2,gene,C06G8.3,0,10799655,0.793438,5111,10794537,7,10799648,0,-7
IV,+,10812381,0.0,2.58494e-26,85,85,0,0,0,gene,R13.4,0,10812399,1.49416,10160,10802221,18,10812381,0,-18
IV,+,10858928,0.00339271,0.0,1179,1175,4,4,16,gene,T11G6.1,1,10858938,1.46707,24041,10834887,10,10858928,0,-10
IV,+,10859288,0.985507,1.16891e-19,69,1,68,51,1,gene,T11G6.1,1,10859291,1.46707,24401,10834887,3,10859288,0,-3
IV,+,10861373,0.89384,0.0,763,81,682,452,3,gene,T11G6.8,2,10861383,2.78198,118,10861255,10,10861373,0,-10
IV,+,10861442,1.0,0.5,1,0,1,1,205,gene,T11G6.8,2,10861463,2.78198,187,10861255,21,10861373,-69,-90
IV,+,10864302,0.971429,4.62125e-27,105,3,102,64,1,gene,F13E9.1,3,10864337,0.447714,104,10864198,35,10864302,0,-35
IV,+,10864323,1.0,0.5,1,0,1,0,195,gene,F13E9.1,3,10864337,0.447714,125,10864198,14,10864302,-21,-35
IV,+,10881522,0.0333333,1.53523e-15,60,58,2,2,1,gene,F13E9.13,0,10881526,0.103536,835,10880687,4,10881527,5,1
IV,+,10909885,0.0,8.07794e-28,90,90,0,0,2,gene,ZK593.1,0,10909915,1.31439,8529,10901356,30,10909885,0,-30
IV,+,10913318,0.0,0.00012207,13,13,0,0,15,gene,ZK593.2,0,10913350,0.538545,270,10913048,32,10913331,13,-19
IV,+,10913333,0.00581395,0.0,172,171,1,1,73,gene,ZK593.2,0,10913350,0.538545,285,10913048,17,10913331,-2,-19
IV,+,10916569,0.0,0.0,273,273,0,0,0,gene,ZK593.3,0,10916584,0.980288,2051,10914518,15,10916585,16,1
IV,+,10920047,0.0,0.0,553,553,0,0,0,gene,ZK593.4,0,10920051,0.829732,2358,10917689,4,10920077,30,26
IV,+,10933472,0.0038999,0.0,3077,3065,12,12,2,gene,ZK593.7,0,10933496,3.81909,6688,10926784,24,10933472,0,-24
IV,+,10937424,0.00943396,0.0,424,420,4,3,5,gene,ZK593.8,0,10937436,0.648398,3248,10934176,12,10937424,0,-12
IV,+,10982038,0.00498753,0.0,401,399,2,0,0,gene,Y43E12A.2,0,10982038,1.43526,13902,10968136,0,10982038,0,0
IV,+,10987872,1.0,0.25,2,0,2,2,3,gene,Y43E12A.3,0,10987877,0.0287047,495,10987377,5,10987876,4,-1
IV,+,10990969,0.0,0.000244141,12,12,0,0,0,gene,F13H10.5,0,10990990,0.205229,1777,10989192,21,10991009,40,19
IV,+,11001902,0.0,1.88079e-37,122,122,0,0,0,gene,F13H10.9,0,11001962,0.0882402,7771,10994131,60,11002089,187,127
IV,+,11004543,0.0,2.32831e-10,32,32,0,0,0,gene,F13H10.1,0,11004554,0.163295,686,11003857,11,11004555,12,1
IV,+,11004550,0.0,1.81899e-12,39,39,0,0,1,gene,F13H10.1,0,11004554,0.163295,693,11003857,4,11004555,5,1
IV,+,11004610,0.0,0.5,1,1,0,0,17,gene,F13H10.1,0,11004613,0.163295,753,11003857,3,11004555,-55,-58
IV,+,11009266,0.00309162,0.0,7116,7094,22,15,3,gene,F13H10.6,0,11009277,9.38818,4160,11005106,11,11009264,-2,-13
IV,+,11020487,0.00543652,0.0,3127,3110,17,15,27,gene,F13H10.8,0,11020494,5.89084,10394,11010093,7,11020452,-35,-42
IV,+,11022573,0.0460405,0.0,543,518,25,21,2,gene,F36H1.6,0,11022574,1.41574,1208,11021365,1,11022573,0,-1
IV,+,11032564,0.0,0.00012207,13,13,0,0,3,gene,F36H1.10,0,11032659,0.16245,6723,11025841,95,11032564,0,-95
IV,+,11032660,0.0,3.72529e-09,28,28,0,0,6,gene,F36H1.10,0,11032665,0.16245,6819,11025841,5,11032564,-96,-101
IV,+,11033158,0.0,0.5,1,1,0,0,1,gene,F36H1.10,0,11033189,0.16245,7317,11025841,31,11033158,0,-31
IV,+,11036552,0.00296248,0.0,6076,6058,18,13,28,gene,F36H1.1,0,11036555,8.55684,2983,11033569,3,11036552,0,-3
IV,+,11038632,0.0193548,1.33277e-41,155,152,3,2,1,gene,F36H1.2,0,11038740,0.590833,506,11038126,108,11038632,0,-108
IV,+,11049144,0.00584795,0.0,171,170,1,1,2,gene,F36H1.11,0,11049156,0.522712,1752,11047392,12,11049157,13,1
IV,+,11054282,0.00268097,0.0,373,372,1,1,0,gene,F36H1.4,0,11054327,3.68184,1814,11052468,45,11054282,0,-45
IV,+,11057642,0.0,3.05176e-05,15,15,0,0,0,gene,F36H1.4,0,11057682,3.68184,5174,11052468,40,11057642,0,-40
IV,+,11084077,0.00768246,0.0,781,775,6,6,10,gene,M7.2,0,11084099,0.976046,19848,11064229,22,11084077,0,-22
IV,+,11113011,0.0,9.53674e-07,20,20,0,0,7,gene,T05E11.2,0,11113214,0.266385,21182,11091829,203,11112971,-40,-243
IV,+,11113063,0.0,0.00390625,8,8,0,0,4,gene,T05E11.2,0,11113214,0.266385,21234,11091829,151,11112971,-92,-243
IV,+,11125996,0.0143885,0.0,278,274,4,3,0,gene,F01G4.1,1,11126045,2.47157,2011,11123985,49,11125996,0,-49
IV,+,11131251,0.540193,4.43273e-05,1866,858,1008,662,0,gene,F01G4.2,2,11131264,4.22132,45,11131206,13,11131251,0,-13
IV,+,11143317,0.0,1.17549e-38,126,126,0,0,0,gene,F01G4.4,0,11143321,0.533801,9538,11133779,4,11143317,0,-4
IV,+,11150085,0.00141643,0.0,5648,5640,8,8,16,gene,C08F8.1,1,11150086,5.73084,4096,11145989,1,11149826,-259,-260
IV,+,11150969,0.993671,0.0,158,1,157,108,9,gene,C08F8.2,2,11151018,0.411341,67,11150902,49,11150969,0,-49
IV,+,11155021,0.00305499,0.0,982,979,3,3,24,gene,C08F8.3,0,11155033,0.748268,715,11154306,12,11155001,-20,-32
IV,+,11177246,0.0,0.0,234,234,0,0,1,gene,C08F8.7,0,11177257,0.248833,2491,11174755,11,11177258,12,1
IV,+,11179617,0.0204778,0.0,293,287,6,5,0,gene,R07H5.2,1,11179668,2.16626,1523,11178094,51,11179617,0,-51
IV,+,11179654,0.0,0.125,3,3,0,0,155,gene,R07H5.2,1,11179668,2.16626,1560,11178094,14,11179617,-37,-51
IV,+,11180370,0.0,2.84217e-14,45,45,0,0,10,gene,R07H5.2,1,11180400,2.16626,2276,11178094,30,11180370,0,-30
IV,+,11183104,0.644628,0.000445033,121,43,78,53,15,gene,R07H5.1,2,11183116,1.49924,131,11182973,12,11183110,6,-6
IV,+,11183110,0.775926,6.69909e-40,540,121,419,296,183,gene,R07H5.1,2,11183116,1.49924,137,11182973,6,11183110,0,-6
IV,+,11184263,0.949468,0.0,376,19,357,243,3,gene,R07H5.3,3,11184267,0.603647,94,11184169,4,11184263,0,-4
IV,+,11184954,0.625,0.21875,8,3,5,3,0,gene,R07H5.3,3,11184962,0.603647,415,11184539,8,11184954,0,-8
IV,+,11202741,0.0,0.25,2,2,0,0,0,gene,R07H5.11,0,11202782,0.10966,14500,11188241,41,11202741,0,-41
IV,+,11273422,0.0,2.38419e-07,22,22,0,0,0,gene,F54D1.5,0,11273437,0.0585363,9087,11264335,15,11273466,44,29
IV,+,11287782,0.00582524,0.0,515,512,3,3,1,gene,F54D1.6,0,11287787,1.04556,5824,11281958,5,11287782,0,-5
IV,+,11299007,0.0,0.0,789,789,0,0,10,gene,B0035.14,0,11299013,1.41326,4212,11294795,6,11299007,0,-6
IV,+,11310943,0.003125,0.0,320,319,1,0,6,gene,B0035.1,0,11310970,3.1603,6160,11304783,27,11310943,0,-27
