,chr,source,feature,start,end,score,strand,frame,gene_name,gene_id,gene_version,gene_source,gene_biotype,transcript_id,transcript_source,transcript_biotype,exon_number,exon_id
885,V,WormBase,exon,29336,29515,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4r.1,WormBase,protein_coding,8.0,B0348.4a.1.e10
887,V,WormBase,exon,30200,30297,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4r.1,WormBase,protein_coding,9.0,B0348.4a.1.e11
889,V,WormBase,exon,31340,31582,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4r.1,WormBase,protein_coding,10.0,B0348.4d.1.e12
891,V,WormBase,exon,35015,35156,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4r.1,WormBase,protein_coding,11.0,B0348.4a.1.e12
893,V,WormBase,exon,36118,36855,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4r.1,WormBase,protein_coding,12.0,B0348.4a.1.e13
895,V,WormBase,exon,36918,37213,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4r.1,WormBase,protein_coding,13.0,B0348.4a.1.e14
897,V,WormBase,exon,38138,38269,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4r.1,WormBase,protein_coding,14.0,B0348.4a.1.e15
899,V,WormBase,exon,38991,39026,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4r.1,WormBase,protein_coding,15.0,B0348.4b.1.e16
901,V,WormBase,exon,40454,40723,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4r.1,WormBase,protein_coding,16.0,B0348.4a.1.e16
903,V,WormBase,exon,41729,41844,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4r.1,WormBase,protein_coding,17.0,B0348.4a.1.e17
905,V,WormBase,exon,42040,42166,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4r.1,WormBase,protein_coding,18.0,B0348.4a.1.e18
907,V,WormBase,exon,42214,42317,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4r.1,WormBase,protein_coding,19.0,B0348.4a.1.e19
909,V,WormBase,exon,43026,43697,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4r.1,WormBase,protein_coding,20.0,B0348.4b.1.e21
915,V,WormBase,exon,20825,21090,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4s.1,WormBase,protein_coding,1.0,B0348.4a.1.e1
918,V,WormBase,exon,22495,22856,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4s.1,WormBase,protein_coding,2.0,B0348.4a.1.e2
920,V,WormBase,exon,23159,23294,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4s.1,WormBase,protein_coding,3.0,B0348.4a.1.e3
922,V,WormBase,exon,23793,23896,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4s.1,WormBase,protein_coding,4.0,B0348.4a.1.e5
924,V,WormBase,exon,24788,25259,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4s.1,WormBase,protein_coding,5.0,B0348.4a.1.e6
926,V,WormBase,exon,25965,26129,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4s.1,WormBase,protein_coding,6.0,B0348.4a.1.e7
928,V,WormBase,exon,26194,26380,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4s.1,WormBase,protein_coding,7.0,B0348.4a.1.e8
930,V,WormBase,exon,29336,29515,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4s.1,WormBase,protein_coding,8.0,B0348.4a.1.e10
932,V,WormBase,exon,30200,30297,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4s.1,WormBase,protein_coding,9.0,B0348.4a.1.e11
934,V,WormBase,exon,31340,31582,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4s.1,WormBase,protein_coding,10.0,B0348.4d.1.e12
936,V,WormBase,exon,35015,35156,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4s.1,WormBase,protein_coding,11.0,B0348.4a.1.e12
938,V,WormBase,exon,36118,36855,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4s.1,WormBase,protein_coding,12.0,B0348.4a.1.e13
940,V,WormBase,exon,36918,37213,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4s.1,WormBase,protein_coding,13.0,B0348.4a.1.e14
942,V,WormBase,exon,38138,38269,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4s.1,WormBase,protein_coding,14.0,B0348.4a.1.e15
944,V,WormBase,exon,40454,40723,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4s.1,WormBase,protein_coding,15.0,B0348.4a.1.e16
946,V,WormBase,exon,41729,41844,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4s.1,WormBase,protein_coding,16.0,B0348.4a.1.e17
948,V,WormBase,exon,42040,42166,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4s.1,WormBase,protein_coding,17.0,B0348.4a.1.e18
950,V,WormBase,exon,42214,42317,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4s.1,WormBase,protein_coding,18.0,B0348.4a.1.e19
952,V,WormBase,exon,43026,43687,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4s.1,WormBase,protein_coding,19.0,B0348.4a.1.e20
958,V,WormBase,exon,20825,21090,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4t.1,WormBase,protein_coding,1.0,B0348.4a.1.e1
961,V,WormBase,exon,22495,22856,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4t.1,WormBase,protein_coding,2.0,B0348.4a.1.e2
963,V,WormBase,exon,23159,23294,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4t.1,WormBase,protein_coding,3.0,B0348.4a.1.e3
965,V,WormBase,exon,23793,23896,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4t.1,WormBase,protein_coding,4.0,B0348.4a.1.e5
967,V,WormBase,exon,24788,25259,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4t.1,WormBase,protein_coding,5.0,B0348.4a.1.e6
969,V,WormBase,exon,25965,26129,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4t.1,WormBase,protein_coding,6.0,B0348.4a.1.e7
971,V,WormBase,exon,26194,26380,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4t.1,WormBase,protein_coding,7.0,B0348.4a.1.e8
973,V,WormBase,exon,29336,29515,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4t.1,WormBase,protein_coding,8.0,B0348.4a.1.e10
975,V,WormBase,exon,30200,30297,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4t.1,WormBase,protein_coding,9.0,B0348.4a.1.e11
977,V,WormBase,exon,35015,35156,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4t.1,WormBase,protein_coding,10.0,B0348.4a.1.e12
979,V,WormBase,exon,36118,36855,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4t.1,WormBase,protein_coding,11.0,B0348.4a.1.e13
981,V,WormBase,exon,36918,37213,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4t.1,WormBase,protein_coding,12.0,B0348.4a.1.e14
983,V,WormBase,exon,38138,38269,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4t.1,WormBase,protein_coding,13.0,B0348.4a.1.e15
985,V,WormBase,exon,38991,39026,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4t.1,WormBase,protein_coding,14.0,B0348.4b.1.e16
987,V,WormBase,exon,40454,40723,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4t.1,WormBase,protein_coding,15.0,B0348.4a.1.e16
989,V,WormBase,exon,41729,41844,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4t.1,WormBase,protein_coding,16.0,B0348.4a.1.e17
991,V,WormBase,exon,42040,42166,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4t.1,WormBase,protein_coding,17.0,B0348.4a.1.e18
993,V,WormBase,exon,42214,42317,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4t.1,WormBase,protein_coding,18.0,B0348.4a.1.e19
995,V,WormBase,exon,43026,43697,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4t.1,WormBase,protein_coding,19.0,B0348.4b.1.e21
1001,V,WormBase,exon,20825,21090,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4u.1,WormBase,protein_coding,1.0,B0348.4a.1.e1
1004,V,WormBase,exon,22495,22856,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4u.1,WormBase,protein_coding,2.0,B0348.4a.1.e2
1006,V,WormBase,exon,23159,23294,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4u.1,WormBase,protein_coding,3.0,B0348.4a.1.e3
1008,V,WormBase,exon,23793,23896,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4u.1,WormBase,protein_coding,4.0,B0348.4a.1.e5
1010,V,WormBase,exon,24788,25259,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4u.1,WormBase,protein_coding,5.0,B0348.4a.1.e6
1012,V,WormBase,exon,25965,26129,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4u.1,WormBase,protein_coding,6.0,B0348.4a.1.e7
1014,V,WormBase,exon,26194,26380,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4u.1,WormBase,protein_coding,7.0,B0348.4a.1.e8
1016,V,WormBase,exon,29336,29515,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4u.1,WormBase,protein_coding,8.0,B0348.4a.1.e10
1018,V,WormBase,exon,30200,30297,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4u.1,WormBase,protein_coding,9.0,B0348.4a.1.e11
1020,V,WormBase,exon,35015,35156,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4u.1,WormBase,protein_coding,10.0,B0348.4a.1.e12
1022,V,WormBase,exon,36118,36855,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4u.1,WormBase,protein_coding,11.0,B0348.4a.1.e13
1024,V,WormBase,exon,36918,37213,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4u.1,WormBase,protein_coding,12.0,B0348.4a.1.e14
1026,V,WormBase,exon,38138,38269,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4u.1,WormBase,protein_coding,13.0,B0348.4a.1.e15
1028,V,WormBase,exon,40454,40723,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4u.1,WormBase,protein_coding,14.0,B0348.4a.1.e16
1030,V,WormBase,exon,41729,41844,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4u.1,WormBase,protein_coding,15.0,B0348.4a.1.e17
1032,V,WormBase,exon,42040,42166,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4u.1,WormBase,protein_coding,16.0,B0348.4a.1.e18
1034,V,WormBase,exon,42214,42317,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4u.1,WormBase,protein_coding,17.0,B0348.4a.1.e19
1036,V,WormBase,exon,43026,43687,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4u.1,WormBase,protein_coding,18.0,B0348.4a.1.e20
1042,V,WormBase,exon,20825,21090,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4v.1,WormBase,protein_coding,1.0,B0348.4a.1.e1
1045,V,WormBase,exon,22495,22856,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4v.1,WormBase,protein_coding,2.0,B0348.4a.1.e2
1047,V,WormBase,exon,23159,23294,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4v.1,WormBase,protein_coding,3.0,B0348.4a.1.e3
1049,V,WormBase,exon,23793,23896,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4v.1,WormBase,protein_coding,4.0,B0348.4a.1.e5
1051,V,WormBase,exon,24788,25259,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4v.1,WormBase,protein_coding,5.0,B0348.4a.1.e6
1053,V,WormBase,exon,25965,26129,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4v.1,WormBase,protein_coding,6.0,B0348.4a.1.e7
1055,V,WormBase,exon,26194,26380,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4v.1,WormBase,protein_coding,7.0,B0348.4a.1.e8
1057,V,WormBase,exon,30200,30297,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4v.1,WormBase,protein_coding,8.0,B0348.4a.1.e11
1059,V,WormBase,exon,31340,31582,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4v.1,WormBase,protein_coding,9.0,B0348.4d.1.e12
1061,V,WormBase,exon,35015,35156,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4v.1,WormBase,protein_coding,10.0,B0348.4a.1.e12
1063,V,WormBase,exon,36118,36855,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4v.1,WormBase,protein_coding,11.0,B0348.4a.1.e13
1065,V,WormBase,exon,36918,37213,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4v.1,WormBase,protein_coding,12.0,B0348.4a.1.e14
1067,V,WormBase,exon,38138,38269,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4v.1,WormBase,protein_coding,13.0,B0348.4a.1.e15
1069,V,WormBase,exon,38991,39026,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4v.1,WormBase,protein_coding,14.0,B0348.4b.1.e16
1071,V,WormBase,exon,40454,40723,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4v.1,WormBase,protein_coding,15.0,B0348.4a.1.e16
1073,V,WormBase,exon,41729,41844,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4v.1,WormBase,protein_coding,16.0,B0348.4a.1.e17
1075,V,WormBase,exon,42040,42166,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4v.1,WormBase,protein_coding,17.0,B0348.4a.1.e18
1077,V,WormBase,exon,42214,42317,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4v.1,WormBase,protein_coding,18.0,B0348.4a.1.e19
1079,V,WormBase,exon,43026,43697,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4v.1,WormBase,protein_coding,19.0,B0348.4b.1.e21
1085,V,WormBase,exon,20825,21090,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4w.1,WormBase,protein_coding,1.0,B0348.4a.1.e1
1088,V,WormBase,exon,22495,22856,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4w.1,WormBase,protein_coding,2.0,B0348.4a.1.e2
1090,V,WormBase,exon,23159,23294,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4w.1,WormBase,protein_coding,3.0,B0348.4a.1.e3
1092,V,WormBase,exon,23793,23896,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4w.1,WormBase,protein_coding,4.0,B0348.4a.1.e5
1094,V,WormBase,exon,24788,25259,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4w.1,WormBase,protein_coding,5.0,B0348.4a.1.e6
1096,V,WormBase,exon,25965,26129,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4w.1,WormBase,protein_coding,6.0,B0348.4a.1.e7
1098,V,WormBase,exon,26194,26380,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4w.1,WormBase,protein_coding,7.0,B0348.4a.1.e8
1100,V,WormBase,exon,30200,30297,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4w.1,WormBase,protein_coding,8.0,B0348.4a.1.e11
1102,V,WormBase,exon,31340,31582,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4w.1,WormBase,protein_coding,9.0,B0348.4d.1.e12
1104,V,WormBase,exon,35015,35156,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4w.1,WormBase,protein_coding,10.0,B0348.4a.1.e12
1106,V,WormBase,exon,36118,36855,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4w.1,WormBase,protein_coding,11.0,B0348.4a.1.e13
1108,V,WormBase,exon,36918,37213,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4w.1,WormBase,protein_coding,12.0,B0348.4a.1.e14
1110,V,WormBase,exon,38138,38269,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4w.1,WormBase,protein_coding,13.0,B0348.4a.1.e15
1112,V,WormBase,exon,40454,40723,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4w.1,WormBase,protein_coding,14.0,B0348.4a.1.e16
1114,V,WormBase,exon,41729,41844,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4w.1,WormBase,protein_coding,15.0,B0348.4a.1.e17
1116,V,WormBase,exon,42040,42166,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4w.1,WormBase,protein_coding,16.0,B0348.4a.1.e18
1118,V,WormBase,exon,42214,42317,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4w.1,WormBase,protein_coding,17.0,B0348.4a.1.e19
1120,V,WormBase,exon,43026,43687,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4w.1,WormBase,protein_coding,18.0,B0348.4a.1.e20
1126,V,WormBase,exon,20825,21090,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4x.1,WormBase,protein_coding,1.0,B0348.4a.1.e1
1129,V,WormBase,exon,22495,22856,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4x.1,WormBase,protein_coding,2.0,B0348.4a.1.e2
1131,V,WormBase,exon,23159,23294,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4x.1,WormBase,protein_coding,3.0,B0348.4a.1.e3
1133,V,WormBase,exon,23793,23896,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4x.1,WormBase,protein_coding,4.0,B0348.4a.1.e5
1135,V,WormBase,exon,24788,25259,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4x.1,WormBase,protein_coding,5.0,B0348.4a.1.e6
1137,V,WormBase,exon,25965,26129,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4x.1,WormBase,protein_coding,6.0,B0348.4a.1.e7
1139,V,WormBase,exon,26194,26380,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4x.1,WormBase,protein_coding,7.0,B0348.4a.1.e8
1141,V,WormBase,exon,30200,30297,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4x.1,WormBase,protein_coding,8.0,B0348.4a.1.e11
1143,V,WormBase,exon,35015,35156,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4x.1,WormBase,protein_coding,9.0,B0348.4a.1.e12
1145,V,WormBase,exon,36118,36855,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4x.1,WormBase,protein_coding,10.0,B0348.4a.1.e13
1147,V,WormBase,exon,36918,37213,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4x.1,WormBase,protein_coding,11.0,B0348.4a.1.e14
1149,V,WormBase,exon,38138,38269,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4x.1,WormBase,protein_coding,12.0,B0348.4a.1.e15
1151,V,WormBase,exon,38991,39026,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4x.1,WormBase,protein_coding,13.0,B0348.4b.1.e16
1153,V,WormBase,exon,40454,40723,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4x.1,WormBase,protein_coding,14.0,B0348.4a.1.e16
1155,V,WormBase,exon,41729,41844,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4x.1,WormBase,protein_coding,15.0,B0348.4a.1.e17
1157,V,WormBase,exon,42040,42166,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4x.1,WormBase,protein_coding,16.0,B0348.4a.1.e18
1159,V,WormBase,exon,42214,42317,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4x.1,WormBase,protein_coding,17.0,B0348.4a.1.e19
1161,V,WormBase,exon,43026,43697,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4x.1,WormBase,protein_coding,18.0,B0348.4b.1.e21
1167,V,WormBase,exon,20825,21090,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4y.1,WormBase,protein_coding,1.0,B0348.4a.1.e1
1170,V,WormBase,exon,22495,22856,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4y.1,WormBase,protein_coding,2.0,B0348.4a.1.e2
1172,V,WormBase,exon,23159,23294,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4y.1,WormBase,protein_coding,3.0,B0348.4a.1.e3
1174,V,WormBase,exon,23793,23896,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4y.1,WormBase,protein_coding,4.0,B0348.4a.1.e5
1176,V,WormBase,exon,24788,25259,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4y.1,WormBase,protein_coding,5.0,B0348.4a.1.e6
1178,V,WormBase,exon,25965,26129,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4y.1,WormBase,protein_coding,6.0,B0348.4a.1.e7
1180,V,WormBase,exon,26194,26380,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4y.1,WormBase,protein_coding,7.0,B0348.4a.1.e8
1182,V,WormBase,exon,30200,30297,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4y.1,WormBase,protein_coding,8.0,B0348.4a.1.e11
1184,V,WormBase,exon,35015,35156,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4y.1,WormBase,protein_coding,9.0,B0348.4a.1.e12
1186,V,WormBase,exon,36118,36855,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4y.1,WormBase,protein_coding,10.0,B0348.4a.1.e13
1188,V,WormBase,exon,36918,37213,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4y.1,WormBase,protein_coding,11.0,B0348.4a.1.e14
1190,V,WormBase,exon,38138,38269,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4y.1,WormBase,protein_coding,12.0,B0348.4a.1.e15
1192,V,WormBase,exon,40454,40723,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4y.1,WormBase,protein_coding,13.0,B0348.4a.1.e16
1194,V,WormBase,exon,41729,41844,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4y.1,WormBase,protein_coding,14.0,B0348.4a.1.e17
1196,V,WormBase,exon,42040,42166,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4y.1,WormBase,protein_coding,15.0,B0348.4a.1.e18
1198,V,WormBase,exon,42214,42317,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4y.1,WormBase,protein_coding,16.0,B0348.4a.1.e19
1200,V,WormBase,exon,43026,43687,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4y.1,WormBase,protein_coding,17.0,B0348.4a.1.e20
1207,V,WormBase,exon,31881,31901,.,+,.,21ur-15398,WBGene00169236,1,WormBase,piRNA,B0348.7,WormBase,piRNA,1.0,B0348.7.e1
1210,V,WormBase,exon,39259,39364,.,+,.,B0348.8,WBGene00219784,1,WormBase,snoRNA,B0348.8,WormBase,snoRNA,1.0,B0348.8.e1
1213,V,WormBase,exon,45310,45499,.,+,.,B0348.2,WBGene00015152,1,WormBase,protein_coding,B0348.2a.1,WormBase,protein_coding,1.0,B0348.2a.1.e1
1216,V,WormBase,exon,45599,45646,.,+,.,B0348.2,WBGene00015152,1,WormBase,protein_coding,B0348.2a.1,WormBase,protein_coding,2.0,B0348.2a.1.e2
1218,V,WormBase,exon,46701,46916,.,+,.,B0348.2,WBGene00015152,1,WormBase,protein_coding,B0348.2a.1,WormBase,protein_coding,3.0,B0348.2a.1.e3
1224,V,WormBase,exon,45310,45646,.,+,.,B0348.2,WBGene00015152,1,WormBase,protein_coding,B0348.2b.1,WormBase,protein_coding,1.0,B0348.2b.1.e1
1227,V,WormBase,exon,46701,46916,.,+,.,B0348.2,WBGene00015152,1,WormBase,protein_coding,B0348.2b.1,WormBase,protein_coding,2.0,B0348.2b.1.e2
1234,V,WormBase,exon,48922,48954,.,+,.,B0348.1,WBGene00015151,1,WormBase,protein_coding,B0348.1.1,WormBase,protein_coding,1.0,B0348.1.1.e1
1237,V,WormBase,exon,49018,49065,.,+,.,B0348.1,WBGene00015151,1,WormBase,protein_coding,B0348.1.1,WormBase,protein_coding,2.0,B0348.1.1.e2
1239,V,WormBase,exon,49437,49619,.,+,.,B0348.1,WBGene00015151,1,WormBase,protein_coding,B0348.1.1,WormBase,protein_coding,3.0,B0348.1.1.e3
1244,V,WormBase,exon,55794,56046,.,-,.,srt-52,WBGene00021413,1,WormBase,protein_coding,Y38C9B.2.1,WormBase,protein_coding,1.0,Y38C9B.2.1.e1
1247,V,WormBase,exon,55492,55587,.,-,.,srt-52,WBGene00021413,1,WormBase,protein_coding,Y38C9B.2.1,WormBase,protein_coding,2.0,Y38C9B.2.1.e2
1249,V,WormBase,exon,51196,51557,.,-,.,srt-52,WBGene00021413,1,WormBase,protein_coding,Y38C9B.2.1,WormBase,protein_coding,3.0,Y38C9B.2.1.e3
1251,V,WormBase,exon,50997,51126,.,-,.,srt-52,WBGene00021413,1,WormBase,protein_coding,Y38C9B.2.1,WormBase,protein_coding,4.0,Y38C9B.2.1.e4
1253,V,WormBase,exon,49956,50101,.,-,.,srt-52,WBGene00021413,1,WormBase,protein_coding,Y38C9B.2.1,WormBase,protein_coding,5.0,Y38C9B.2.1.e5
1258,V,WormBase,exon,59239,59371,.,+,.,cyp-29A3,WBGene00021412,1,WormBase,protein_coding,Y38C9B.1.1,WormBase,protein_coding,1.0,Y38C9B.1.1.e1
1261,V,WormBase,exon,59815,59881,.,+,.,cyp-29A3,WBGene00021412,1,WormBase,protein_coding,Y38C9B.1.1,WormBase,protein_coding,2.0,Y38C9B.1.1.e2
1263,V,WormBase,exon,59942,60060,.,+,.,cyp-29A3,WBGene00021412,1,WormBase,protein_coding,Y38C9B.1.1,WormBase,protein_coding,3.0,Y38C9B.1.1.e3
1265,V,WormBase,exon,60321,60509,.,+,.,cyp-29A3,WBGene00021412,1,WormBase,protein_coding,Y38C9B.1.1,WormBase,protein_coding,4.0,Y38C9B.1.1.e4
